Connected to the server.
Starting a file (upload.txt) upload...
Received ack(1583361916.139044) from the server.
Received ack(1583361916.139443) from the server.
Received ack(1583361916.140734) from the server.
Received ack(1583361916.141033) from the server.
Received ack(1583361916.1412191) from the server.
Received ack(1583361916.1413372) from the server.
Received ack(1583361916.1414468) from the server.
Received ack(1583361916.141649) from the server.
Received ack(1583361916.141778) from the server.
Received ack(1583361916.1419048) from the server.
Received ack(1583361916.142019) from the server.
Received ack(1583361916.1421492) from the server.
Received ack(1583361916.1434722) from the server.
Received ack(1583361916.143632) from the server.
Received ack(1583361916.143759) from the server.
Received ack(1583361916.143887) from the server.
Received ack(1583361916.144004) from the server.
Received ack(1583361916.144115) from the server.
Received ack(1583361916.144228) from the server.
Received ack(1583361916.144331) from the server.
Received ack(1583361916.1444328) from the server.
Received ack(1583361916.1445298) from the server.
Received ack(1583361916.144642) from the server.
Received ack(1583361916.144752) from the server.
Received ack(1583361916.1448529) from the server.
Received ack(1583361916.144964) from the server.
Received ack(1583361916.1450722) from the server.
Received ack(1583361916.145182) from the server.
Received ack(1583361916.1452842) from the server.
Received ack(1583361916.145383) from the server.
Received ack(1583361916.1454961) from the server.
Received ack(1583361916.145605) from the server.
Received ack(1583361916.14571) from the server.
Received ack(1583361916.145813) from the server.
Received ack(1583361916.145907) from the server.
Received ack(1583361916.1460092) from the server.
Received ack(1583361916.146087) from the server.
Received ack(1583361916.1461592) from the server.
Received ack(1583361916.1462321) from the server.
Received ack(1583361916.146302) from the server.
Received ack(1583361916.146372) from the server.
Received ack(1583361916.146443) from the server.
Received ack(1583361916.1465118) from the server.
Received ack(1583361916.146581) from the server.
Received ack(1583361916.14665) from the server.
Received ack(1583361916.1467211) from the server.
Received ack(1583361916.146796) from the server.
Received ack(1583361916.1468658) from the server.
Received ack(1583361916.146934) from the server.
Received ack(1583361916.147003) from the server.
Received ack(1583361916.147073) from the server.
Received ack(1583361916.147261) from the server.
Received ack(1583361916.147402) from the server.
Received ack(1583361916.147855) from the server.
Received ack(1583361916.148046) from the server.
Received ack(1583361916.1481888) from the server.
Received ack(1583361916.148304) from the server.
Received ack(1583361916.148414) from the server.
Received ack(1583361916.1485188) from the server.
Received ack(1583361916.148685) from the server.
Received ack(1583361916.1488152) from the server.
Received ack(1583361916.148947) from the server.
Received ack(1583361916.149127) from the server.
Received ack(1583361916.1492531) from the server.
Received ack(1583361916.149358) from the server.
Received ack(1583361916.1494348) from the server.
Received ack(1583361916.149508) from the server.
Received ack(1583361916.1495838) from the server.
Received ack(1583361916.149663) from the server.
Received ack(1583361916.149735) from the server.
Received ack(1583361916.149806) from the server.
Received ack(1583361916.1498759) from the server.
Received ack(1583361916.149947) from the server.
Received ack(1583361916.150017) from the server.
Received ack(1583361916.1500869) from the server.
Received ack(1583361916.150157) from the server.
Received ack(1583361916.150229) from the server.
Received ack(1583361916.1502988) from the server.
Received ack(1583361916.150368) from the server.
Received ack(1583361916.150437) from the server.
Received ack(1583361916.150507) from the server.
Received ack(1583361916.150576) from the server.
Received ack(1583361916.150645) from the server.
Received ack(1583361916.1507158) from the server.
Received ack(1583361916.150784) from the server.
Received ack(1583361916.150898) from the server.
Received ack(1583361916.151011) from the server.
Received ack(1583361916.151117) from the server.
Received ack(1583361916.151204) from the server.
Received ack(1583361916.1512792) from the server.
Received ack(1583361916.1513522) from the server.
Received ack(1583361916.1514208) from the server.
Received ack(1583361916.1514912) from the server.
Received ack(1583361916.1515598) from the server.
Received ack(1583361916.151629) from the server.
Received ack(1583361916.1517) from the server.
Received ack(1583361916.1517692) from the server.
Received ack(1583361916.151839) from the server.
Received ack(1583361916.1519082) from the server.
Received ack(1583361916.151977) from the server.
Received ack(1583361916.152045) from the server.
Received ack(1583361916.152119) from the server.
Received ack(1583361916.152189) from the server.
Received ack(1583361916.1522582) from the server.
Received ack(1583361916.152329) from the server.
Received ack(1583361916.1523972) from the server.
Received ack(1583361916.1524658) from the server.
Received ack(1583361916.152535) from the server.
Received ack(1583361916.1526039) from the server.
Received ack(1583361916.152672) from the server.
Received ack(1583361916.152745) from the server.
Received ack(1583361916.1528141) from the server.
Received ack(1583361916.1528902) from the server.
Received ack(1583361916.152996) from the server.
Received ack(1583361916.153118) from the server.
Received ack(1583361916.153235) from the server.
Received ack(1583361916.153423) from the server.
Received ack(1583361916.153557) from the server.
Received ack(1583361916.153684) from the server.
Received ack(1583361916.153861) from the server.
Received ack(1583361916.154009) from the server.
Received ack(1583361916.15414) from the server.
Received ack(1583361916.1542468) from the server.
Received ack(1583361916.154403) from the server.
Received ack(1583361916.154491) from the server.
Received ack(1583361916.154567) from the server.
Received ack(1583361916.154639) from the server.
Received ack(1583361916.154709) from the server.
Received ack(1583361916.154779) from the server.
Received ack(1583361916.154848) from the server.
Received ack(1583361916.154917) from the server.
Received ack(1583361916.154986) from the server.
Received ack(1583361916.1550562) from the server.
Received ack(1583361916.155127) from the server.
